domain,feature,task,start_date,end_date,notes,flag
Core Services,CICD,Bitbucket -> GitLab Migration,2026-09-01,2027-05-30,There might not be much of a reason to migrate from bitbucket other than consistency but it needs to be understood how we can keep the tf state the same if we execute migration,
Core Services,Image Repository,Harbor Implementation (CY failover),2025-12-01,2026-03-31,CY failover solution to maintain platform conainer images,
Core Services,Image Repository,Internal PROD ECR Implementation,2026-01-01,2026-03-01,Test AMI pipeline images to ECR,
Core Services,Image Repository,Internal PROD ECR Migration,2026-03-01,2026-05-01,Migrate all platform images to ECR,
Core Services,Image Repository,ECR Baseline,2026-05-01,2027-12-01,This eliminates the dependency of CY and will deprecate the need of Harbor such to improve platform efficiencies by utilizing cloud native solutions and reduce resources,baseline
Resiliency,WEST Standalone Account,WEST Asset RMF (0-3),2026-02-01,2026-04-01,Create WEST asset and get account IATT,
Resiliency,WEST Standalone Account,WEST Standalone Asset Discovery ,2026-04-01,2026-10-31,Discover phase of west standalone,
Resiliency,WEST Standalone Account,WEST Standalone Account Build,2026-06-01,2026-10-31,Wrap up standalone west potential,
Resiliency,EAST -> West Failover,EAST -> WEST Failover Discovery,2026-06-01,2026-08-01,,
Resiliency,EAST -> West Failover,EAST -> WEST Failover Implementation,2026-08-01,2027-04-01,,
Resiliency,EAST -> West Failover,EAST -> WEST Failover Testing,2027-03-01,2027-07-01,,
Resiliency,FIS Implementation,FIS Support,2025-12-01,2027-12-31,,
Core Support Services,AI Enablements,Platform AI assistant beta,2026-07-15,2027-03-31,Operator productivity tooling,
Core Support Services,Landing Page,Unified platform portal,2026-02-01,2026-06-30,Single entry point for tenants,
FVEY C2S Core,FVEY C2S Core,Cross-domain service mesh,2026-04-01,2026-10-31,Secure multi-domain networking,
FVEY C2S Support,FVEY C2S Support,FVEY compliance automation,2026-05-01,2026-12-31,Continuous compliance enforcement,
DEV C2S Core,DEV C2S Core,DEV enclave platform baseline,2025-12-01,2026-06-30,Initial DEV enclave rollout,
DEV C2S Support,DEV C2S Support,DEV enclave operational tooling,2026-03-01,2026-09-30,Logging monitoring and support tooling,
